Step;Tamanho do dataset; Qtd. entradas do índice;Tempo de construção do índice(seg);Tempo de consulta para 1 palavra - Aleatório(ms);Tempo de consulta para 2 palavras - Aleatório(ms);Tempo de consulta para 1 palavra - Melhor caso(ms);Tempo de consulta para 1 palavra - Caso médio(ms);Tempo de consulta para 1 palavra - Pior caso(ms);Tempo de consulta para 2 palavras - Melhor caso(ms);Tempo de consulta para 2 palavras - Caso médio(ms);Tempo de consulta para 2 palavras - Pior caso(ms)
3;48;2325;1620400;968;1354;;;;;;
3;49;2213;1639700;939;1271;;;;;;
3;50;2529;1715500;1098;1428;;;;;;
3;51;36;3986500;18;13;;;;;;
3;52;68;4056100;32;30;;;;;;
3;53;60;3690000;29;26;;;;;;
3;54;62;3422700;31;26;;;;;;
3;55;71;3828500;35;30;;;;;;
3;56;68;3399800;32;32;;;;;;
3;57;58;3835700;29;24;;;;;;
3;58;41;3783200;20;16;;;;;;
3;59;60;3900700;29;26;;;;;;
3;60;142;3922200;56;81;;;;;;
3;61;1779;3676100;712;1062;;;;;;
3;62;2044;3702000;829;1210;;;;;;
3;63;2436;4971000;969;1461;;;;;;
3;64;1927;3712600;789;1133;;;;;;
3;65;2509;3596700;1048;1457;;;;;;
3;66;2165;3579100;882;1278;;;;;;
3;67;2416;3619700;956;1455;;;;;;
3;68;2193;3664600;886;1301;;;;;;
3;69;2558;3849700;1000;1552;;;;;;
3;70;2727;3689200;1155;1567;;;;;;
3;71;4871;3648900;2047;2818;;;;;;
3;72;4033;3538400;1726;2302;;;;;;
3;73;4179;3915700;1724;2449;;;;;;
3;74;5367;4015300;2181;3180;;;;;;
3;75;5798;3744400;2357;3435;;;;;;
3;76;4611;3731900;1847;2758;;;;;;
3;77;4710;3713200;2017;2687;;;;;;
3;78;3762;3572200;1538;2218;;;;;;
3;79;4261;3554100;1724;2532;;;;;;
3;80;4461;3682300;1780;2676;;;;;;
4;1;1203;2415700;549;651;;;;;;
