Step;Tamanho do dataset; Qtd. entradas do índice;Tempo de construção do índice(seg);Tempo de consulta para 1 palavra - Aleatório(ms);Tempo de consulta para 2 palavras - Aleatório(ms);Tempo de consulta para 1 palavra - Melhor caso(ms);Tempo de consulta para 1 palavra - Caso médio(ms);Tempo de consulta para 1 palavra - Pior caso(ms);Tempo de consulta para 2 palavras - Melhor caso(ms);Tempo de consulta para 2 palavras - Caso médio(ms);Tempo de consulta para 2 palavras - Pior caso(ms)
3;54;56;2718600;28;23;;;;;;
3;55;57;2695900;31;22;;;;;;
3;56;233;2815700;31;198;;;;;;
3;57;52;2824000;26;22;;;;;;
3;58;34;2843700;18;12;;;;;;
3;59;50;2860300;26;20;;;;;;
3;60;139;3994300;61;73;;;;;;
3;61;1838;2929300;673;1160;;;;;;
3;62;2040;3253800;779;1256;;;;;;
3;63;2526;2772600;1229;1292;;;;;;
3;64;1794;2761200;634;1155;;;;;;
3;65;2217;2882400;983;1229;;;;;;
3;66;2296;3399000;820;1470;;;;;;
3;67;2378;2960600;1013;1361;;;;;;
3;68;2062;2791700;948;1111;;;;;;
3;69;2512;2771700;1229;1279;;;;;;
3;70;2659;3062100;958;1696;;;;;;
3;71;4742;3077200;1790;2946;;;;;;
3;72;3812;2913000;1511;2296;;;;;;
3;73;4165;3027300;1459;2701;;;;;;
3;74;4815;3101500;1900;2910;;;;;;
3;75;5864;3299500;2044;3815;;;;;;
3;76;4248;2990200;1514;2729;;;;;;
3;77;4429;3112200;1554;2870;;;;;;
3;78;3469;2871400;1627;1837;;;;;;
3;79;4180;2929700;1694;2482;;;;;;
3;80;4247;2976800;1645;2597;;;;;;
4;1;1066;1820000;525;538;;;;;;
4;2;1029;1483100;402;624;;;;;;
4;3;1181;1375900;464;714;;;;;;
4;4;1614;1543200;538;1073;;;;;;
4;5;1172;1392800;350;819;;;;;;
4;6;1630;1753200;630;997;;;;;;
4;7;963;1409600;335;626;;;;;;
4;8;1103;1391300;435;665;;;;;;
4;9;1689;2108300;576;1109;;;;;;
4;10;1395;1435500;467;926;;;;;;
4;11;1443;2818400;571;868;;;;;;
4;12;3216;3288400;1220;1991;;;;;;
4;13;2613;3068400;1025;1583;;;;;;
4;14;2751;3279100;1205;1541;;;;;;
4;15;2530;3210900;1041;1485;;;;;;
4;16;3253;3433300;1316;1932;;;;;;
